alpha,beta,sigma_eta,long_run_log_variance,valid
-0.9802758495323268,0.9492937505356237,0.28982009265482417,-19.33244639245149,False
-0.5613004926664081,0.9560694822140894,0.3699561053570194,-12.777006075863468,True
-1.3922953455147395,0.9397999933031379,0.0966991481933171,-23.127827086891543,False
-0.3525839789119327,0.9617547212237766,0.07246096198017868,-9.21901971155534,True
-0.9843463210907427,0.8969146610923565,0.19763146304932516,-9.548848861743968,True
-0.6797168837715347,0.959750418067365,0.3021401720449605,-16.88755140138264,False
-1.048775594499197,0.9006166033225493,0.30527839535688284,-10.55282501465515,True
-0.7642920362421715,0.8580105956885976,0.34529164235284315,-5.382739930128683,True
-0.650392169094708,0.8883600695936932,0.05400088021961672,-5.825802351610617,True
-0.42796274283685887,0.9297979925447712,0.377998594749787,-6.096161040833364,True
-1.4245710567099714,0.992054900068642,0.12621284759703524,-179.3018425215061,False
-1.4941202113880478,0.8793032091454613,0.14487300275531195,-12.379121274141674,True
-0.16238148075809478,0.9403916783687328,0.09641929677062562,-2.724141131880462,True
-0.23965382117406708,0.9778722466062211,0.2475527657635329,-10.830463305933453,True
-0.7136417536153132,0.9716654206718,0.20616993938583317,-25.186248412202815,False
-1.1583684294458476,0.9627935993756391,0.299916645195427,-31.133579438141258,False
-0.5598730940695732,0.8648526836524121,0.23678236099432937,-4.1426874702389584,True
-1.34352214386625,0.8874961387954403,0.46355962440522863,-11.9420091851194,True
-0.49124548952826963,0.9083248942028835,0.13963541588879935,-5.35854837861252,True
-1.2708289801824153,0.8778552919335232,0.36592859136690054,-10.404290126845048,True
-0.49988813766601115,0.9674950568011261,0.09014632540764206,-15.378834370131424,False
-0.7266269839575509,0.8705961867651655,0.46583387010035976,-5.61518989118899,True
-1.2514929390626541,0.9214155550052525,0.458152926435278,-15.925453684203061,False
-1.0175689046175047,0.9930779393440594,0.25596809274579696,-147.003754401403,False
-0.5838489090299824,0.8517255302434986,0.3861183549224247,-3.937622639883913,True
-0.8167030491665155,0.85593122877426,0.1443271682380723,-5.668841638739536,True
-0.27350423135991564,0.9123842226796625,0.3375314582353084,-3.121632195990679,True
-0.5512817154228812,0.9303189992719522,0.21582147712477628,-7.911506862170832,True
-0.5834061957250594,0.926057758178819,0.3019773319390943,-7.890025800623487,True
-0.3213154982748092,0.8709777391132457,0.053659607716451355,-2.490388062233966,True
-0.8390962664104986,0.9721720889263578,0.45781932940773123,-30.15304541508562,False
-0.8273037953534077,0.9781236298853344,0.2554470495258364,-37.817233435760706,False
-0.9532356397698136,0.9954783798883454,0.09675167290970078,-210.81727704475375,False
-1.4373945202326153,0.9517429668467716,0.1878168942421915,-29.786218221673955,False
-0.6453762020834174,0.8814181105752552,0.24565859234356352,-5.4424516695948775,True
-0.4284186606215681,0.8970810103051057,0.06179845600638531,-4.162678451193749,True
-1.0032553654897043,0.9754686884947772,0.3883551130552319,-40.8969314696488,False
-0.11264451546856469,0.8889221919347574,0.35076325366764094,-1.0141045941634164,True
-0.6146392292859862,0.8639886938720374,0.4593312834078014,-4.519030415807633,True
-1.0156353713857948,0.9640846443012518,0.323983645562374,-28.278583119286644,False
-0.597276208107299,0.8541710021503852,0.07416502626443182,-4.09573004625072,True
-1.3988026863552256,0.8806161770150562,0.4274406780219804,-11.716852848075048,True
-0.1900347112285865,0.8785542507875022,0.09062407927130622,-1.5647703806913502,True
-0.41643188735835146,0.9341250755188747,0.11884531733168177,-6.321553924174423,True
-0.21003453992402532,0.8985416831684339,0.23684685417775425,-2.0701559663433966,True
-1.1744854415963126,0.9947436967696413,0.33141522010203484,-223.44324330697953,False
-0.375473975190564,0.9786985144901594,0.3796919047792232,-17.62665683654352,False
-0.8432181427986056,0.8566693247835805,0.3117212179779538,-5.883026376073397,True
-0.3173480045723751,0.9779712777757426,0.252796944963443,-14.406101331784004,True
-1.1671864129167795,0.8776213942488196,0.4363436805618808,-9.53750376344291,True
-1.2495865660274221,0.8771844335924001,0.2435531359180514,-10.174496625943148,True
-1.1261916261247336,0.8516441757993183,0.10527626012433294,-7.591152097954227,True
-0.4954119965962276,0.9326257436488212,0.4466266169691567,-7.353134912747128,True
-0.8370394846897242,0.8861178246362206,0.11835639169740758,-7.350048258350597,True
-0.9092918037421645,0.9606267078406665,0.14078150868524789,-23.094126852854888,False
-0.7528433287427919,0.8889974668165281,0.32518769055331354,-6.782217550823329,True
